Fecha;Camas UCI ocupadas;Camas UCI Disponibles;% Ocupación UCI;Camas UCI ocupadas Covid-19
8/05/2024;999;1.163;85,90%;26
15/05/2024;970;1.163;83,40%;28
22/05/2024;973;1.157;84,10%;37
29/05/2024;994;1.157;85,90%;28
5/06/2024;990;1.149;86,20%;31
12/06/2024;995;1.149;86,60%;26
19/06/2024;1.013;1.149;88,20%;32
26/06/2024;982;1.142;86,00%;46
3/07/2024;960;1.142;84,10%;26
10/07/2024;980;1.139;86,00%;28
17/07/2024;962;1.139;84,50%;36
24/07/2024;935;1.133;82,50%;31
31/07/2024;930;1.133;82,10%;28
7/08/2024;920;1.126;81,70%;35
14/08/2024;934;1.126;82,90%;17
21/08/2024;930;1.126;82,60%;38
;;;;
Fuente camas ocupadas y camas asignadas: Red privada: Información reportada por 61 IPS que cuentan con camas de UCI habilitadas o con autorización transitoria en Bogotá. Corte: 2024/08/21 11:30AM;;;;
Fuente camas ocupadas y camas asignadas Aplicativo SIRC Red pública: 24 prestadores que cuentan con servicio de UCI habilitado o con autorización transitoria. Corte: 2024/08/21 11:30AM;;;;
